"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"ER7-GP4","05f8474c-6211-4c91-9c62-f0e04301e706","KINGSLANDING\devadmin","6/17/2025 9:22:46 PM","6/20/2025 3:51:44 PM",
"ER7-GP5","9b2e36ac-5684-4cda-866b-41d6dd8ad58f","KINGSLANDING\devadmin","6/17/2025 9:22:48 PM","6/23/2025 2:31:50 PM",
"ER7-DC1","9f0e9ba2-42ec-4389-967c-a6de02380e09","KINGSLANDING\devadmin","6/17/2025 9:22:47 PM","6/20/2025 3:51:16 PM",
"ER7-GP2","d1d460e5-4481-4b74-b975-72ce0c379670","KINGSLANDING\devadmin","6/17/2025 9:22:49 PM","6/20/2025 3:51:34 PM",
"ER7-GP1","d7c86090-a247-48a2-9775-a317bd16d570","KINGSLANDING\devadmin","6/17/2025 9:22:45 PM","6/20/2025 3:51:28 PM",
"ER7-GP3","f14f1fef-1d9c-4fac-bf51-9130bf848758","KINGSLANDING\devadmin","6/17/2025 9:22:46 PM","6/23/2025 2:24:54 PM",
"ER7-File Print Sharing","fc1fe1ef-c80f-4623-8c5f-24e16a30a0df","KINGSLANDING\devadmin","6/17/2025 9:22:48 PM","6/20/2025 3:51:22 PM",
"ER7-GP4","05f8474c-6211-4c91-9c62-f0e04301e706","KINGSLANDING\devadmin","6/17/2025 9:22:46 PM","6/20/2025 3:51:44 PM",
"ER7-GP5","9b2e36ac-5684-4cda-866b-41d6dd8ad58f","KINGSLANDING\devadmin","6/17/2025 9:22:48 PM","6/23/2025 4:55:20 PM",
"ER7-DC1","9f0e9ba2-42ec-4389-967c-a6de02380e09","KINGSLANDING\devadmin","6/17/2025 9:22:47 PM","6/20/2025 3:51:16 PM",
"ER7-GP2","d1d460e5-4481-4b74-b975-72ce0c379670","KINGSLANDING\devadmin","6/17/2025 9:22:49 PM","6/20/2025 3:51:34 PM",
"ER7-GP1","d7c86090-a247-48a2-9775-a317bd16d570","KINGSLANDING\devadmin","6/17/2025 9:22:45 PM","6/20/2025 3:51:28 PM",
"ER7-GP3","f14f1fef-1d9c-4fac-bf51-9130bf848758","KINGSLANDING\devadmin","6/17/2025 9:22:46 PM","6/23/2025 2:24:54 PM",
"ER7-File Print Sharing","fc1fe1ef-c80f-4623-8c5f-24e16a30a0df","KINGSLANDING\devadmin","6/17/2025 9:22:48 PM","6/20/2025 3:51:22 PM",
